"first name","last name","(not set)","address","zipcode","email","phone","entry date","reason for contact"
"oil","boil","nextdoor / leadgen","101 Gravity Forms","97111","oil@boil.oil","101-0101-0101","2020-5-30","bugs"
"tim","time","nextdoor / leadgen","106 Gravity Forms","97116","oil@boil.oil","101-0101-0106","2020-5-30","bugs"
"oyl","boyl","duckduckgo / organic","202 Gravity Forms","97112","oil@boil.oil","101-0101-0102","2020-5-30","bugs"
"the","arm","duckduckgo / organic","409 Gravity Forms","97119","oil@boil.oil","101-0101-0109","2020-5-30","bugs"
"eel","beel","gmb / pottsville","303 Gravity Forms","97113","oil@boil.oil","101-0101-0103","2020-5-30","bugs"
"el","smell","gmb / pottsville","308 Gravity Forms","97118","oil@boil.oil","101-0101-0107","2020-5-30","bugs"
"ool","bool","acquisio / cpc","404 Gravity Forms","97114","oil@boil.oil","101-0101-0104","2020-5-30","bugs"
"jon","john","acquisio / cpc","207 Gravity Forms","97117","oil@boil.oil","101-0101-0107","2020-5-30","bugs"
"isle","bile","google / cpc","505 Gravity Forms","97115","oil@boil.oil","101-0101-0105","2020-5-30","bugs"
"kid","lid","google / cpc","500 Gravity Forms","97110","oil@boil.oil","101-0101-0100","2020-5-30","bugs"
